of_id,article_ref,article_family,diameter_mm,material,color,quantity,machine_id,machine_type,actual_start_ts,actual_end_ts,downtime_min,status,record_created_ts
OF-2024-00013,ART-A06,Assemblage,21.3,Acier,Noir,227,MCH-05,CNC_STD,2024-07-09 06:24:42,2024-07-09 08:45:09,0.0,done,2024-07-09 08:48:52
OF-2024-00014,ART-U28,Usinage,115.2,Aluminium,Bleu,70,MCH-03,CNC_STD,2024-05-01 15:42:14,2024-05-01 17:22:48,0.0,done,2024-05-01 17:27:00
OF-2024-00015,ART-F27,Finition,162.2,Titane,Rouge,61,MCH-07,MANUAL,20/08/2024 15:20,20/08/2024 17:52,0.0,done,20/08/2024 17:56
OF-2024-00016,ART-F15,Finition,196.8,Titane,Jaune,70,MCH-01,CNC_FAST,2024-03-21 12:42:07,2024-03-21 14:23:40,0.0,done,2024-03-21 14:26:06
OF-2024-00017,ART-S01,Soudure,191.3,Titane,Bleu,324,MCH-06,MANUAL,2024-07-31 07:28:55,2024-08-02 13:33:31,532.1,done,2024-08-02 13:37:50
OF-2024-00018,ART-S29,Soudure,90.9,Aluminium,Vert,140,MCH-07,MANUAL,09/06/2024 10:50,09/06/2024 19:18,140.9,done,09/06/2024 19:21
OF-2024-00019,ART-U32-MM,Usinage,131.7,Aluminium,Gris,75,MCH-04,CNC_STD,2024-03-03 16:14:04,,0.0,aborted,2024-03-03 18:32:47
OF-2024-00020,ART-U24,Usinage,173.0,Aluminium,Vert,107,MCH-05,CNC_STD,2024-04-16 16:49:08,2024-04-16 20:54:34,57.6,done,2024-04-16 20:58:36
OF-2024-00021,ART-F31,Finition,25.3,Inox,Gris,373,MCH-08,MANUAL,2024-03-14 18:35:26,2024-03-14 23:27:15,0.0,done,2024-03-14 23:31:27
OF-2024-00022,ART-A10,Assemblage,48.9,Aluminium,Jaune,50,MCH-11,ROBOT_CELL,2024-03-24 06:15:05,2024-03-24 06:50:56,4.1,done,2024-03-24 06:53:28
OF-2024-00023,ART-U28,Usinage,115.2,Aluminium,Bleu,242,MCH-04,CNC_STD,2024-08-01 21:47:46,2024-08-02 04:01:47,72.8,done,2024-08-02 04:05:41
OF-2024-00024,ART-S33,Soudure,195.1,Inox,Gris,45,MCH-06,MANUAL,2024-04-04 22:13:50,2024-04-05 05:02:36,0.0,done,2024-04-05 05:03:22
OF-2024-00025,ART-U24,Usinage,173.0,Aluminium,Vert,30,MCH-01,CNC_FAST,2024-01-30 10:32:39,2024-01-30 11:29:51,0.0,done,2024-01-30 11:32:09
OF-2024-00026,ART-S13,Soudure,74.7,Acier,Jaune,77,MCH-11,ROBOT_CELL,2024-02-29 17:33:51,2024-02-29 20:42:24,0.0,done,2024-02-29 20:42:56
OF-2024-00027,ART-U08,Usinage,22.6,Inox,Noir,71,MCH-02,CNC_FAST,2024-02-23 08:38:09,2024-02-23 09:30:33,15.9,done,2024-02-23 09:34:45
OF-2024-00028,ART-U24,Usinage,173.0,Aluminium,Vert,290,MCH-05,CNC_STD,2024-04-25 12:40:04,2024-04-25 23:46:00,0.0,done,2024-04-25 23:47:31
OF-2024-00029,ART-U08,Usinage,22.6,Inox,Noir,50,MCH-05,CNC_STD,2024-07-01 12:17:53,2024-07-01 13:10:18,12.9,done,2024-07-01 13:13:28
OF-2024-00030,ART-S33,Soudure,195.1,Inox,Gris,58,MCH-07,MANUAL,27/03/2024 21:50,28/03/2024 07:01,0.0,done,28/03/2024 07:02
OF-2024-00031,ART-A26,Assemblage,183.1,Inox,Rouge,32,MCH-08,MANUAL,2024-06-10 13:02:54,2024-06-10 14:48:03,34.3,done,2024-06-10 14:51:30
OF-2024-00032,ART-A02,Assemblage,36.9,Aluminium,Vert,9,MCH-07,MANUAL,27/04/2024 07:33,27/04/2024 07:55,7.2,done,27/04/2024 07:59
OF-2024-00033,ART-S05,Soudure,38.9,Acier,Vert,5,MCH-06,MANUAL,2024-03-23 14:07:29,2024-03-23 14:41:58,0.0,done,2024-03-23 14:45:23
OF-2024-00034,ART-S17,Soudure,16.0,Acier,Bleu,113,MCH-11,ROBOT_CELL,2024-04-18 08:40:48,2024-04-18 10:31:05,0.0,done,2024-04-18 10:31:36
OF-2024-00035,ART-A06,Assemblage,21.3,Acier,Noir,14,MCH-10,ROBOT_CELL,2024-02-21 21:00:38,2024-02-21 21:13:06,0.0,done,2024-02-21 21:18:01
OF-2024-00036,ART-U04,Usinage,186.4,Inox,Rouge,77,MCH-02,CNC_FAST,2024-01-02 20:55:36,2024-01-03 02:46:35,0.0,done,2024-01-03 02:48:50
OF-2024-00037,ART-S21,Soudure,45.5,Inox,Vert,24,MCH-10,ROBOT_CELL,2024-07-22 08:40:32,2024-07-22 09:39:30,0.0,done,2024-07-22 09:40:42
OF-2024-00038,ART-A10,Assemblage,48.9,Aluminium,Jaune,164,MCH-03,CNC_STD,2024-01-11 16:11:00,2024-01-11 18:42:52,0.0,done,2024-01-11 18:46:16
OF-2024-00039,ART-S25,Soudure,151.9,Acier,Bleu,76,MCH-12,ROBOT_CELL,2024-07-02 17:51:29,2024-07-02 22:44:41,0.0,done,2024-07-02 22:47:37
OF-2024-00040,ART-F19,Finition,100.8,Aluminium,Gris,21,MCH-02,CNC_FAST,2024-05-23 06:27:53,2024-05-23 06:41:26,2.6,done,2024-05-23 06:44:33
OF-2024-00041,ART-S33,Soudure,195.1,Inox,Gris,53,MCH-09,ROBOT_CELL,2024-05-04 16:44:57,2024-05-04 21:16:52,0.0,done,2024-05-04 21:18:43
OF-2024-00042,ART-U08,Usinage,22.6,Inox,Noir,395,MCH-01,CNC_FAST,2024-03-08 19:11:45,2024-03-08 23:11:13,0.0,done,2024-03-08 23:11:59
OF-2024-00043,ART-S25,Soudure,151.9,Acier,Bleu,79,MCH-11,ROBOT_CELL,2024-08-04 07:01:01,2024-08-04 12:45:20,36.3,done,2024-08-04 12:46:03
OF-2024-00044,ART-U32,Usinage,131.7,Aluminium,Gris,46,MCH-03,CNC_STD,2024-07-27 09:43:52,2024-07-27 11:37:30,20.5,done,2024-07-27 11:40:32
OF-2024-00045,ART-U04,Usinage,186.4,Inox,Rouge,29,MCH-03,CNC_STD,2024-07-08 10:06:58,2024-07-08 12:00:44,0.0,done,2024-07-08 12:02:45
OF-2024-00046,ART-A18,Assemblage,15.6,Inox,Rouge,59,MCH-09,ROBOT_CELL,2024-02-11 19:26:25,2024-02-11 20:05:11,0.0,done,2024-02-11 20:05:45
OF-2024-00047,ART-U00,Usinage,184.0,Inox,Jaune,287,MCH-04,CNC_STD,2024-06-08 13:30:43,2024-06-09 04:44:39,0.0,done,2024-06-09 04:48:18
OF-2024-00048,ART-A18,Assemblage,15.6,Inox,Rouge,54,MCH-12,ROBOT_CELL,2024-05-15 09:13:27,2024-05-15 09:46:12,0.0,done,2024-05-15 09:50:21
OF-2024-00049,ART-F07,Finition,147.0,Acier,Gris,73,MCH-02,CNC_FAST,2024-03-05 16:37:54,2024-03-05 17:37:06,4.3,done,2024-03-05 17:38:27
OF-2024-00050,ART-U28,Usinage,115.2,Aluminium,Bleu,22,MCH-01,CNC_FAST,2024-06-19 06:01:47,2024-06-19 06:38:22,11.2,done,2024-06-19 06:42:28
OF-2024-00051,ART-U28,Usinage,115.2,Aluminium,Bleu,53,MCH-02,CNC_FAST,2024-03-24 08:59:19,2024-03-24 09:57:27,0.0,done,2024-03-24 10:01:13
OF-2024-00052,ART-A34,Assemblage,59.7,Aluminium,Jaune,73,MCH-10,ROBOT_CELL,2024-03-27 16:11:31,,0.0,running,2024-03-27 17:08:58
OF-2024-00053,ART-S25,Soudure,151.9,Acier,Bleu,124,MCH-11,ROBOT_CELL,2024-08-14 13:34:33,2024-08-14 20:58:15,0.0,done,2024-08-14 21:00:59
OF-2024-00054,ART-S21,Soudure,45.5,Inox,Vert,70,MCH-07,MANUAL,18/07/2024 10:52,18/07/2024 15:11,0.0,done,18/07/2024 15:11
OF-2024-00055,ARTU08,Usinage,22.6,Inox,Noir,72,MCH-01,CNC_FAST,2024-04-08 06:27:35,2024-04-08 07:22:47,16.4,done,2024-04-08 07:23:50
OF-2024-00056,ART-U32,Usinage,131.7,Aluminium,Gris,71,MCH-04,CNC_STD,2024-03-26 13:51:05,2024-03-27 05:50:37,0.0,done,2024-03-27 05:54:35
OF-2024-00057,ART-U24,Usinage,173.0,Aluminium,Vert,252,MCH-04,CNC_STD,2024-02-13 14:26:26,2024-02-13 22:30:31,0.0,done,2024-02-13 22:35:13
OF-2024-00058,ART-S21,Soudure,45.5,Inox,Vert,45,MCH-07,MANUAL,23/01/2024 08:37,23/01/2024 11:46,0.0,done,23/01/2024 11:47
OF-2024-00059,ART-A22,Assemblage,105.9,Aluminium,Noir,232,MCH-10,ROBOT_CELL,2024-03-25 19:58:50,2024-03-25 22:59:58,0.0,done,2024-03-25 23:03:09
OF-2024-00060,ART-U04,Usinage,186.4,Inox,Rouge,18,MCH-02,CNC_FAST,2024-04-25 19:01:30,2024-04-25 20:31:19,0.0,done,2024-04-25 20:33:50
OF-2024-00061,ART-U00,Usinage,184.0,Inox,Jaune,155,MCH-04,CNC_STD,2024-04-12 08:35:47,2024-04-12 17:19:39,0.0,done,2024-04-12 17:22:18
OF-2024-00062,ART-U28,Usinage,115.2,Aluminium,Bleu,68,MCH-03,CNC_STD,2024-05-10 14:49:16,2024-05-10 16:33:00,23.8,done,2024-05-10 16:34:15
OF-2024-00063,ART-S33,Soudure,195.1,Inox,Gris,37,MCH-12,ROBOT_CELL,2024-06-23 17:51:36,2024-06-23 21:02:53,0.0,done,2024-06-23 21:07:11
OF-2024-00064,ART-U16,Usinage,144.1,Aluminium,Noir,174,MCH-01,CNC_FAST,2024-08-24 10:31:43,2024-08-24 10:28:43,0.0,done,2024-08-24 14:52:19
OF-2024-00065,ART-S25,Soudure,151.9,Acier,Bleu,76,MCH-06,MANUAL,2024-03-05 09:21:43,2024-03-05 18:26:06,0.0,done,2024-03-05 18:29:33
OF-2024-00066,ART-U32,Usinage,131.7,Aluminium,Gris,121,MCH-01,CNC_FAST,2024-05-08 17:24:31,2024-05-08 20:06:24,0.0,done,2024-05-08 20:10:07
OF-2024-00067,ART-F27,Finition,162.2,Titane,Rouge,51,MCH-02,CNC_FAST,2024-04-19 14:18:14,2024-04-19 15:18:42,0.0,done,2024-04-19 15:20:31
OF-2024-00068,ART-F27,Finition,162.2,Titane,Rouge,44,MCH-08,MANUAL,2024-03-08 10:42:00,2024-03-08 12:52:23,0.0,done,2024-03-08 12:56:52
OF-2024-00069,ART-F27,Finition,162.2,Titane,Rouge,42,MCH-06,MANUAL,2024-04-16 22:01:44,2024-04-16 23:44:59,0.0,done,2024-04-16 23:49:11
OF-2024-00070,ART-U24,Usinage,173.0,Aluminium,Vert,59,MCH-01,CNC_FAST,2024-01-15 11:13:31,2024-01-15 13:00:05,35.8,done,2024-01-15 13:02:13
OF-2024-00071,ART-U28,Usinage,115.2,Aluminium,Bleu,380,MCH-03,CNC_STD,2024-04-03 10:08:18,2024-04-03 16:39:46,0.0,done,2024-04-03 16:43:07
OF-2024-00072,ART-S13,Soudure,74.7,Acier,Jaune,151,MCH-07,MANUAL,08/05/2024 19:33,09/05/2024 06:09,0.0,done,09/05/2024 06:11
OF-2024-00073,ART-U04,Usinage,186.4,Inox,Rouge,62,MCH-03,CNC_STD,2024-02-15 12:43:54,2024-02-15 17:53:46,0.0,done,2024-02-15 17:57:33
OF-2024-00074,ART-U32,Usinage,131.7,Aluminium,Gris,29,MCH-04,CNC_STD,2024-02-16 07:58:57,2024-02-16 09:12:20,0.0,done,2024-02-16 09:15:51
OF-2024-00075,ART-F19,Finition,100.8,Aluminium,Gris,333,MCH-08,MANUAL,2024-07-17 12:39:36,2024-07-17 17:56:05,0.0,done,2024-07-17 18:00:10
OF-2024-00076,ART-A18,Assemblage,15.6,Inox,Rouge,184,MCH-08,MANUAL,2024-03-13 12:02:43,2024-03-13 14:23:44,10.2,done,2024-03-13 14:24:38
OF-2024-00077,ART-U28,Usinage,115.2,Aluminium,Bleu,62,MCH-01,CNC_FAST,2024-07-15 13:09:14,2024-07-15 14:15:19,0.0,done,2024-07-15 14:20:00
OF-2024-00078,ART-S13,Soudure,74.7,Acier,Jaune,197,MCH-11,ROBOT_CELL,2024-02-11 10:34:56,2024-02-11 18:01:22,0.0,done,2024-02-11 18:05:51
OF-2024-00079,ART-A18,Assemblage,15.6,Inox,Rouge,29,MCH-07,MANUAL,24/04/2024 12:34,24/04/2024 12:58,2.3,done,24/04/2024 13:03
OF-2024-00080,ART-A26,Assemblage,183.1,Inox,Rouge,29,MCH-03,CNC_STD,2024-07-08 08:50:48,2024-07-08 09:52:55,0.0,done,2024-07-08 09:56:57
OF-2024-00081,ART-U12-MM,Usinage,23.0,Titane,Noir,288,MCH-02,CNC_FAST,2024-08-31 21:11:19,2024-09-01 01:27:44,0.0,done,2024-09-01 01:29:27
OF-2024-00082,ART-S29,Soudure,90.9,Aluminium,Vert,80,MCH-08,MANUAL,2024-08-31 13:56:57,2024-08-31 19:26:22,0.0,done,2024-08-31 19:29:19
OF-2024-00083,ART-F27,Finition,162.2,Titane,Rouge,53,MCH-06,MANUAL,2024-03-02 14:57:11,2024-03-02 16:41:03,20.3,done,2024-03-02 16:45:09
OF-2024-00084,ART-U24,Usinage,173.0,Aluminium,Vert,274,MCH-01,CNC_FAST,2024-08-11 14:13:13,2024-08-11 22:15:39,0.0,done,2024-08-11 22:16:59
OF-2024-00085,ART-U24,Usinage,173.0,Aluminium,Vert,72,MCH-02,CNC_FAST,2024-04-10 13:41:58,2024-04-10 15:32:45,27.2,done,2024-04-10 15:36:37
OF-2024-00086,ART-F19,Finition,100.8,Aluminium,Gris,75,MCH-02,CNC_FAST,2024-02-19 09:26:03,2024-02-19 09:59:35,0.0,done,2024-02-19 10:03:40
OF-2024-00087,ART-A38,Assemblage,165.3,Titane,Noir,70,MCH-03,CNC_STD,2024-07-30 15:49:40,2024-07-30 19:36:24,31.0,done,2024-07-30 19:37:12
OF-2024-00088,ART-S29,Soudure,90.9,Aluminium,Vert,30,MCH-11,ROBOT_CELL,2024-06-20 21:48:46,2024-06-20 23:15:43,0.0,done,2024-06-20 23:17:38
OF-2024-00089,ART-S29,Soudure,90.9,Aluminium,Vert,42,MCH-11,ROBOT_CELL,2024-02-26 08:43:22,2024-02-26 10:58:35,0.0,done,2024-02-26 11:01:09
OF-2024-00090,ART-A06,Assemblage,21.3,Acier,Noir,6,MCH-05,CNC_STD,2024-02-24 15:08:43,2024-02-24 15:20:47,1.5,done,2024-02-24 15:23:50
OF-2024-00091,ART-S25,Soudure,151.9,Acier,Bleu,75,MCH-08,MANUAL,2024-05-29 08:48:01,2024-05-29 18:31:17,0.0,done,2024-05-29 18:33:43
OF-2024-00092,ART-U12,Usinage,23.0,Titane,Noir,16,MCH-02,CNC_FAST,2024-03-30 13:26:40,2024-03-30 13:48:56,7.5,done,2024-03-30 13:51:39
OF-2024-00093,ART-S05,Soudure,38.9,Acier,Vert,22,MCH-06,MANUAL,2024-01-28 21:14:55,2024-01-28 22:43:09,0.0,done,2024-01-28 22:45:51
OF-2024-00094,ART-A26,Assemblage,183.1,Inox,Rouge,51,MCH-12,ROBOT_CELL,2024-06-14 08:46:52,2024-06-14 10:40:17,0.0,done,2024-06-14 10:42:26
OF-2024-00095,ART-S25,Soudure,151.9,Acier,Bleu,323,MCH-11,ROBOT_CELL,2024-08-14 10:52:07,2024-08-15 01:50:23,0.0,done,2024-08-15 01:51:26
OF-2024-00096,ART-U04,Usinage,186.4,Inox,Rouge,62,MCH-01,CNC_FAST,2024-01-13 18:01:17,2024-01-13 21:19:57,0.0,done,2024-01-13 21:20:47
OF-2024-00097,ART-U28,Usinage,115.2,Aluminium,Bleu,73,MCH-03,CNC_STD,2024-04-09 11:27:31,2024-04-09 13:39:19,7.9,done,2024-04-09 13:42:55
OF-2024-00098,ART-U28,Usinage,115.2,Aluminium,Bleu,46,MCH-01,CNC_FAST,2024-03-17 07:28:33,2024-03-17 08:24:15,0.0,done,2024-03-17 08:24:59
OF-2024-00099,ART-A26,Assemblage,183.1,Inox,Rouge,65,MCH-06,MANUAL,2024-06-17 11:22:14,,0.0,running,2024-06-17 14:39:54
OF-2024-00100,ART-U04,Usinage,186.4,Inox,Rouge,33,MCH-02,CNC_FAST,2024-03-09 07:10:34,2024-03-09 09:03:24,0.0,done,2024-03-09 09:08:06
OF-2024-00101,ART-F19,Finition,100.8,Aluminium,Gris,28,MCH-06,MANUAL,2024-08-18 16:23:23,2024-08-18 17:00:07,0.0,done,2024-08-18 17:01:52
OF-2024-00102,ART-U20,Usinage,23.4,Titane,Rouge,179,MCH-05,CNC_STD,2024-03-26 12:09:03,2024-03-26 16:13:20,0.0,done,2024-03-26 16:16:08
OF-2024-00103,ART-U16,Usinage,144.1,Aluminium,Noir,56,MCH-02,CNC_FAST,2024-04-15 19:23:04,2024-04-15 20:56:44,0.0,done,2024-04-15 20:59:03
OF-2024-00104,ART-F27,Finition,162.2,Titane,Rouge,61,MCH-01,CNC_FAST,2024-08-04 12:20:45,2024-08-04 13:35:00,0.0,done,2024-08-04 13:38:40
OF-2024-00105,ART-U16,Usinage,144.1,Aluminium,Noir,17,MCH-05,CNC_STD,2024-03-31 20:45:25,2024-03-31 21:36:14,0.0,done,2024-03-31 21:40:41
OF-2024-00106,ART-S33,Soudure,195.1,Inox,Gris,49,MCH-09,ROBOT_CELL,2024-08-21 10:58:16,2024-08-21 15:32:24,62.1,done,2024-08-21 15:34:03
OF-2024-00107,ART-A06,Assemblage,21.3,Acier,Noir,73,MCH-03,CNC_STD,2024-02-19 15:14:35,2024-02-19 16:04:46,0.0,done,2024-02-19 16:07:33
OF-2024-00108,ART-U04,Usinage,186.4,Inox,Rouge,282,MCH-04,CNC_STD,2024-03-02 11:12:09,2024-03-03 09:19:27,345.5,done,2024-03-03 09:21:06
OF-2024-00109,ART-U04,Usinage,186.4,Inox,Rouge,39,MCH-05,CNC_STD,2024-01-21 21:16:29,2024-01-22 01:07:42,57.1,done,2024-01-22 01:09:19
OF-2024-00110,ART-U28,Usinage,115.2,Aluminium,Bleu,21,MCH-04,CNC_STD,2024-08-01 17:06:12,2024-08-01 18:00:26,6.0,done,2024-08-01 18:03:58
OF-2024-00111,ART-A02,Assemblage,36.9,Aluminium,Vert,348,MCH-07,MANUAL,24/06/2024 11:48,24/06/2024 15:01,0.0,done,24/06/2024 15:03
OF-2024-00112,ART-S13,Soudure,74.7,Acier,Jaune,126,MCH-07,MANUAL,21/03/2024 12:59,21/03/2024 22:37,0.0,done,21/03/2024 22:39
OF-2024-00113,ART-F23,Finition,23.0,Acier,Gris,149,MCH-01,CNC_FAST,2024-03-03 07:54:40,2024-03-03 08:25:57,8.0,done,2024-03-03 08:28:12
OF-2024-00114,ART-S13,Soudure,74.7,Acier,Jaune,10,MCH-10,ROBOT_CELL,2024-03-25 15:02:27,2024-03-25 16:11:21,0.0,done,2024-03-25 16:12:16
OF-2024-00115,ART-F23,Finition,23.0,Acier,Gris,164,MCH-08,MANUAL,2024-03-17 12:35:40,2024-03-17 13:46:27,18.1,done,2024-03-17 13:50:41
OF-2024-00116,ART-F19,Finition,100.8,Aluminium,Gris,39,MCH-08,MANUAL,2024-05-30 17:11:30,2024-05-30 17:58:26,0.0,done,2024-05-30 18:00:51
OF-2024-00117,ART-F11-MM,Finition,147.9,Acier,Gris,236,MCH-02,CNC_FAST,2024-08-19 10:49:54,2024-08-19 13:22:52,0.0,done,2024-08-19 13:25:29
OF-2024-00118,ART-U04,Usinage,186.4,Inox,Rouge,59,MCH-01,CNC_FAST,2024-04-13 20:39:09,2024-04-13 23:40:30,0.0,done,2024-04-13 23:42:29
OF-2024-00119,ART-U24,Usinage,173.0,Aluminium,Vert,297,MCH-02,CNC_FAST,2024-05-25 21:32:46,2024-05-26 03:25:36,0.0,done,2024-05-26 03:27:56
OF-2024-00120,ART-U32,Usinage,131.7,Aluminium,Gris,25,MCH-01,CNC_FAST,2024-07-14 08:28:54,2024-07-14 09:08:36,11.5,done,2024-07-14 09:12:59
OF-2024-00121,ART-U28,Usinage,115.2,Aluminium,Bleu,70,MCH-02,CNC_FAST,2024-02-08 12:17:52,2024-02-08 13:53:32,19.0,done,2024-02-08 13:54:51
OF-2024-00122,ART-A26,Assemblage,183.1,Inox,Rouge,8,MCH-03,CNC_STD,2024-07-11 21:04:11,2024-07-11 21:34:48,0.0,done,2024-07-11 21:38:47
OF-2024-00123,ART-U32,Usinage,131.7,Aluminium,Gris,231,MCH-05,CNC_STD,2024-08-19 20:10:03,2024-08-20 02:31:16,0.0,done,2024-08-20 02:36:07
OF-2024-00124,ART-U28,Usinage,115.2,Aluminium,Bleu,62,MCH-01,CNC_FAST,2024-03-28 10:20:01,2024-03-28 11:38:36,16.9,done,2024-03-28 11:42:16
OF-2024-00125,ART-S13,Soudure,74.7,Acier,Jaune,14,MCH-07,MANUAL,10/08/2024 17:41,10/08/2024 19:36,0.0,done,10/08/2024 19:40
OF-2024-00126,ART-A26,Assemblage,183.1,Inox,Rouge,336,MCH-04,CNC_STD,2024-05-22 20:46:20,2024-05-23 07:15:38,0.0,done,2024-05-23 07:19:28
OF-2024-00127,ART-S17-MM,Soudure,16.0,Acier,Bleu,23,MCH-11,ROBOT_CELL,2024-02-25 09:33:25,2024-02-25 10:15:51,0.0,done,2024-02-25 10:19:35
OF-2024-00128,ART-A06,Assemblage,21.3,Acier,Noir,6,MCH-07,MANUAL,17/08/2024 17:13,17/08/2024 17:29,3.8,done,17/08/2024 17:31
OF-2024-00129,ART-U04,Usinage,186.4,Inox,Rouge,158,MCH-05,CNC_STD,2024-07-06 09:02:04,2024-07-06 20:41:07,177.8,done,2024-07-06 20:44:51
OF-2024-00130,ARTU20,Usinage,23.4,Titane,Rouge,141,MCH-03,CNC_STD,2024-02-08 20:30:20,2024-02-08 23:59:10,0.0,done,2024-02-09 00:03:11
OF-2024-00131,ART-U16,Usinage,144.1,Aluminium,Noir,55,MCH-02,CNC_FAST,2024-07-29 12:25:59,2024-07-29 13:43:01,21.6,done,2024-07-29 13:46:52
OF-2024-00132,art-u20,Usinage,23.4,Titane,Rouge,31,MCH-05,CNC_STD,2024-02-15 11:27:37,2024-02-15 12:31:02,0.0,done,2024-02-15 12:31:32
OF-2024-00133,ART-U04,Usinage,186.4,Inox,Rouge,10,MCH-04,CNC_STD,2024-07-07 12:22:54,2024-07-07 13:29:39,15.0,done,2024-07-07 13:30:53
OF-2024-00134,ART-U28,Usinage,115.2,Aluminium,Bleu,59,MCH-03,CNC_STD,2024-07-15 13:37:12,2024-07-15 15:28:09,35.9,done,2024-07-15 15:29:51
OF-2024-00135,ART-U32,Usinage,131.7,Aluminium,Gris,27,MCH-03,CNC_STD,2024-05-27 19:58:59,2024-05-27 21:06:14,6.9,done,2024-05-27 21:08:29
OF-2024-00136,ART-S33,Soudure,195.1,Inox,Gris,70,MCH-09,ROBOT_CELL,2024-04-11 09:49:29,2024-04-11 15:29:12,0.0,done,2024-04-11 15:32:27
OF-2024-00137,ART-S25,Soudure,151.9,Acier,Bleu,335,MCH-10,ROBOT_CELL,2024-07-10 11:32:39,2024-07-11 09:10:14,0.0,done,2024-07-11 09:14:01
OF-2024-00138,ART-A10,Assemblage,48.9,Aluminium,Jaune,57,MCH-11,ROBOT_CELL,2024-02-01 14:29:14,2024-02-01 15:08:38,10.4,done,2024-02-01 15:09:13
OF-2024-00139,ART-S29,Soudure,90.9,Aluminium,Vert,355,MCH-06,MANUAL,2024-06-07 16:24:14,2024-06-08 16:58:23,418.0,done,2024-06-08 17:00:10
OF-2024-00140,ART-U32,Usinage,131.7,Aluminium,Gris,29,MCH-01,CNC_FAST,2024-07-22 11:03:45,2024-07-22 11:51:36,0.0,done,2024-07-22 11:55:54
OF-2024-00141,ART-U28,Usinage,115.2,Aluminium,Bleu,24,MCH-01,CNC_FAST,2024-03-04 14:37:26,2024-03-04 15:18:14,0.0,done,2024-03-04 15:22:32
OF-2024-00142,ART-S29,Soudure,90.9,Aluminium,Vert,73,MCH-06,MANUAL,2024-06-12 18:55:07,2024-06-12 22:58:54,0.0,done,2024-06-12 23:02:37
OF-2024-00143,ART-A06-MM,Assemblage,21.3,Acier,Noir,149,MCH-04,CNC_STD,2024-05-14 17:16:37,2024-05-14 18:30:22,0.0,done,2024-05-14 18:31:30
OF-2024-00144,ART-S05,Soudure,38.9,Acier,Vert,156,MCH-08,MANUAL,2024-03-25 21:16:10,2024-03-26 02:16:55,0.0,done,2024-03-26 02:18:25
OF-2024-00145,ART-A10,Assemblage,48.9,Aluminium,Jaune,7,MCH-08,MANUAL,2024-07-19 20:25:12,2024-07-19 20:42:26,0.0,done,2024-07-19 20:43:55
OF-2024-00146,ART-S25,Soudure,151.9,Acier,Bleu,10,MCH-08,MANUAL,2024-04-13 13:01:38,2024-04-13 14:57:46,0.0,done,2024-04-13 14:59:58
OF-2024-00147,ART-S25,Soudure,151.9,Acier,Bleu,8,MCH-11,ROBOT_CELL,2024-05-09 19:29:50,2024-05-09 19:15:50,4.4,done,2024-05-09 20:25:51
